front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
S,4,1,4,15,No,0,No,No,No,Yes,No,No,No,250,0,Yes,Yes,No,No,No,النرجس,North of Riyadh,2900000.0,11600.0
W,4,3,3,20,Yes,0,No,Yes,No,Yes,No,Yes,No,250,1,Yes,No,No,No,No,العزيزية,South of Riyadh,1170000.0,4680.0
S,5,4,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1200000.0,4000.0
E,5,3,5,15,Yes,0,No,No,No,Yes,Yes,Yes,Yes,250,0,Yes,No,No,Yes,No,طويق,West of Riyadh,1400000.0,5600.0
NE,4,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,225,0,Yes,No,No,No,No,الحزم,West of Riyadh,950000.0,4222.222222222223
N,5,4,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,Yes,No,No,بدر,South of Riyadh,880000.0,3520.0
N,5,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,No,275,0,No,No,No,No,No,بدر,South of Riyadh,920000.0,3345.454545454545
NE,6,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,No,No,No,No,الرمال,East of Riyadh,1950000.0,5200.0
S,4,3,3,20,Yes,7,Yes,Yes,No,Yes,Yes,Yes,No,537,2,Yes,No,No,No,No,المعيزيلة,East of Riyadh,3000000.0,5586.592178770949
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,246,0,Yes,No,No,No,No,الدار البيضاء,South of Riyadh,840000.0,3414.6341463414637
S,7,2,5,20,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,430,1,Yes,Yes,No,No,No,قرطبة,East of Riyadh,3900000.0,9069.767441860466
S,4,3,5,14,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,360,1,Yes,Yes,No,No,No,العارض,North of Riyadh,2800000.0,7777.777777777777
N,4,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,250,0,Yes,No,No,No,No,سلطانة,West of Riyadh,1090000.0,4360.0
E,4,3,4,21,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,225,0,Yes,No,No,No,No,الشفا,South of Riyadh,800000.0,3555.555555555556
S,5,2,5,20,No,0,No,Yes,Yes,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,3833.3333333333335
N,5,5,5,20,No,11,Yes,No,No,Yes,No,No,No,420,0,Yes,No,No,No,No,الياسمين,North of Riyadh,3500000.0,8333.333333333334
S,5,2,5,15,Yes,0,No,Yes,No,Yes,No,Yes,No,300,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1850000.0,6166.666666666667
S,6,3,3,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,Yes,No,No,No,المهدية,West of Riyadh,1500000.0,7500.0
W,4,2,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,210,0,Yes,Yes,No,No,No,العارض,North of Riyadh,2250000.0,10714.285714285714
N,1,1,4,15,No,0,No,No,Yes,Yes,No,Yes,Yes,250,0,No,Yes,No,No,No,طويق,West of Riyadh,1200000.0,4800.0
E,5,2,5,15,No,1,Yes,Yes,Yes,Yes,Yes,Yes,No,450,2,Yes,No,No,No,No,ظهرة لبن,West of Riyadh,2000000.0,4444.444444444444
N,5,4,4,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,275,1,No,No,No,No,No,الدار البيضاء,South of Riyadh,1070000.0,3890.909090909091
N,4,2,5,20,Yes,9,Yes,Yes,Yes,Yes,Yes,Yes,No,542,3,Yes,No,Yes,No,No,اليرموك,East of Riyadh,4500000.0,8302.583025830258
N,4,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,336,1,Yes,No,No,No,No,المونسية,East of Riyadh,2500000.0,7440.476190476191
N,5,3,5,18,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,Yes,No,No,No,طويق,West of Riyadh,1600000.0,4266.666666666667
NW,5,2,5,18,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,364,2,Yes,No,No,No,No,الرمال,East of Riyadh,2100000.0,5769.2307692307695
E,5,3,5,10,No,7,Yes,No,Yes,Yes,Yes,Yes,No,450,1,Yes,No,No,No,No,النهضة,East of Riyadh,2200000.0,4888.888888888889
S,4,2,2,20,Yes,0,No,No,No,Yes,No,No,Yes,325,0,No,No,No,No,No,عكاظ,South of Riyadh,1097000.0,3375.3846153846152
W,7,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,No,Yes,No,No,No,الرمال,East of Riyadh,1300000.0,5200.0
E,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,255,1,No,No,No,No,No,طويق,West of Riyadh,1180000.0,4627.450980392156
N,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,244,0,No,No,No,No,No,السويدي,West of Riyadh,1300000.0,5327.868852459016
S,4,3,3,15,No,0,No,Yes,Yes,Yes,No,Yes,No,360,0,No,No,Yes,No,No,بدر,South of Riyadh,1100000.0,3055.555555555556
E,4,2,5,15,Yes,0,No,No,No,Yes,Yes,Yes,No,312,1,No,No,No,No,No,طويق,West of Riyadh,1500000.0,4807.692307692308
S,5,2,4,20,No,0,No,No,No,Yes,No,Yes,No,260,0,Yes,No,No,No,No,الرمال,East of Riyadh,1270000.0,4884.615384615385
N,5,1,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,312,1,Yes,No,No,No,No,الحزم,West of Riyadh,1400000.0,4487.179487179487
E,4,3,3,20,No,0,No,Yes,Yes,Yes,No,Yes,No,400,0,No,No,Yes,No,No,ظهرة لبن,West of Riyadh,1450000.0,3625.0
N,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,263,0,Yes,No,No,No,No,بدر,South of Riyadh,1100000.0,4182.509505703422
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,200,0,Yes,No,No,No,No,المهدية,West of Riyadh,1450000.0,7250.0
SW,5,4,4,15,Yes,32,Yes,No,No,Yes,No,No,No,840,0,Yes,No,No,No,Yes,الاندلس,East of Riyadh,3300000.0,3928.571428571429
E,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3500.0
W,5,2,5,20,No,9,Yes,No,Yes,Yes,No,Yes,No,375,3,Yes,No,No,No,No,الدار البيضاء,South of Riyadh,1150000.0,3066.6666666666665
S,4,3,5,15,Yes,11,Yes,No,Yes,Yes,Yes,Yes,No,500,2,Yes,No,No,No,No,الخليج,East of Riyadh,2200000.0,4400.0
S,5,1,3,12,No,22,Yes,Yes,Yes,Yes,Yes,Yes,No,391,3,Yes,No,No,No,No,النهضة,East of Riyadh,1650000.0,4219.94884910486
NW,6,3,4,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,246,0,Yes,No,No,No,No,بدر,South of Riyadh,900000.0,3658.5365853658536
S,5,2,5,25,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,3833.3333333333335
NW,4,2,5,15,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,225,0,Yes,No,No,No,No,الشفا,South of Riyadh,1150000.0,5111.111111111111
N,5,3,5,15,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,243,0,Yes,Yes,No,No,No,المونسية,East of Riyadh,1850000.0,7613.168724279835
W,5,5,5,19,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,Yes,No,No,No,طويق,West of Riyadh,1050000.0,5250.0
S,7,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,250,0,Yes,No,No,No,No,الرمال,East of Riyadh,1600000.0,6400.0
S,5,3,5,18,Yes,0,Yes,No,Yes,Yes,No,Yes,No,312,0,No,Yes,No,No,No,النرجس,North of Riyadh,3400000.0,10897.435897435897
NE,5,2,5,19,Yes,0,No,No,Yes,Yes,Yes,Yes,No,280,1,Yes,Yes,No,No,No,القادسية,East of Riyadh,1900000.0,6785.714285714285
E,5,3,5,15,Yes,4,Yes,No,Yes,Yes,No,Yes,No,510,0,Yes,Yes,No,Yes,Yes,العارض,North of Riyadh,3500000.0,6862.745098039216
E,4,2,5,16,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,288,2,Yes,No,No,No,No,المونسية,East of Riyadh,1950000.0,6770.833333333333
NW,4,2,5,20,Yes,30,Yes,No,Yes,Yes,No,Yes,No,750,0,Yes,No,No,No,No,الازدهار,East of Riyadh,4000000.0,5333.333333333333
N,4,2,4,15,Yes,0,No,Yes,Yes,Yes,No,Yes,No,400,2,Yes,Yes,No,No,No,الرمال,East of Riyadh,1700000.0,4250.0
N,5,3,5,12,No,25,Yes,No,No,Yes,No,Yes,No,322,0,Yes,No,No,No,No,الورود,North of Riyadh,2450000.0,7608.695652173913
E,5,3,3,20,No,0,No,Yes,Yes,Yes,Yes,Yes,No,350,2,No,No,No,No,No,طويق,West of Riyadh,1500000.0,4285.714285714285
S,3,2,4,18,No,0,No,Yes,Yes,Yes,No,Yes,No,230,0,No,No,No,No,No,السويدي,West of Riyadh,670000.0,2913.043478260869
S,3,1,3,20,No,0,No,No,Yes,Yes,No,Yes,No,330,0,No,No,No,No,No,العريجاء الوسطى,West of Riyadh,810000.0,2454.5454545454545
W,4,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,No,No,No,No,طويق,West of Riyadh,1500000.0,4000.0
W,4,3,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,225,0,Yes,No,No,No,No,عكاظ,South of Riyadh,960000.0,4266.666666666667
N,4,2,4,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,طويق,West of Riyadh,1400000.0,4666.666666666667
S,4,3,5,20,Yes,0,No,No,Yes,Yes,No,Yes,No,200,0,Yes,No,No,No,No,المهدية,West of Riyadh,1550000.0,7750.0
SE,7,3,4,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400,0,No,No,No,No,No,الندوة,East of Riyadh,1600000.0,4000.0
S,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,2,No,No,No,No,No,الرمال,East of Riyadh,1600000.0,5333.333333333333
N,4,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1200000.0,4000.0
N,4,2,3,15,Yes,0,Yes,No,No,Yes,No,Yes,No,270,0,No,No,No,Yes,No,العارض,North of Riyadh,2800000.0,10370.37037037037
W,4,2,3,20,No,0,No,Yes,Yes,Yes,No,Yes,Yes,250,0,Yes,No,No,No,No,الحزم,West of Riyadh,1000000.0,4000.0
N,4,2,5,20,No,0,No,Yes,Yes,Yes,No,Yes,No,242,1,Yes,No,No,No,No,بدر,South of Riyadh,1050000.0,4338.842975206611
W,3,2,5,15,No,5,Yes,Yes,Yes,Yes,Yes,Yes,No,405,2,Yes,No,No,Yes,No,قرطبة,East of Riyadh,3000000.0,7407.407407407408
S,1,1,2,15,No,0,No,Yes,Yes,No,No,No,No,312,0,No,No,No,No,No,الرمال,East of Riyadh,1550000.0,4967.948717948718
W,1,2,4,15,No,0,No,Yes,Yes,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1350000.0,4500.0
N,5,2,5,20,Yes,0,No,No,Yes,Yes,No,Yes,No,450,0,Yes,No,No,No,No,طويق,West of Riyadh,2100000.0,4666.666666666667
E,4,3,5,20,Yes,1,No,Yes,Yes,Yes,Yes,Yes,No,360,1,Yes,No,No,No,No,بدر,South of Riyadh,1200000.0,3333.333333333333
N,5,3,5,28,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,341,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1130000.0,3313.7829912023462
S,5,2,5,15,Yes,4,Yes,No,Yes,Yes,Yes,No,No,375,0,Yes,Yes,No,Yes,No,الندى,North of Riyadh,3100000.0,8266.666666666666
N,1,4,3,15,Yes,0,Yes,No,No,Yes,No,Yes,No,312,1,Yes,No,No,No,No,المونسية,East of Riyadh,2200000.0,7051.282051282052
E,5,4,5,10,No,12,No,No,No,Yes,Yes,Yes,No,510,4,Yes,No,No,No,No,النسيم الغربي,East of Riyadh,1400000.0,2745.098039215686
N,5,2,5,21,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,270,1,Yes,No,No,No,No,طيبة,South of Riyadh,1050000.0,3888.8888888888887
E,4,1,5,25,No,0,No,No,Yes,Yes,No,Yes,No,360,0,No,No,No,No,No,عكاظ,South of Riyadh,795000.0,2208.333333333333
W,4,4,3,20,No,0,Yes,No,No,Yes,Yes,Yes,No,405,1,Yes,Yes,Yes,Yes,No,العارض,North of Riyadh,3400000.0,8395.061728395061
E,5,3,5,18,Yes,0,No,Yes,No,Yes,No,Yes,No,271,1,Yes,No,No,No,No,الجنادرية,East of Riyadh,1370000.0,5055.350553505535
N,5,2,5,15,No,0,Yes,No,Yes,Yes,No,Yes,No,305,2,Yes,No,No,No,No,الرمال,East of Riyadh,1360000.0,4459.016393442623
W,5,3,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,252,1,Yes,No,No,No,No,عكاظ,South of Riyadh,1050000.0,4166.666666666667
E,3,2,5,16,Yes,0,Yes,No,No,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,المونسية,East of Riyadh,1650000.0,8250.0
N,5,1,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,400,0,Yes,Yes,No,Yes,No,النرجس,North of Riyadh,4500000.0,11250.0
N,7,3,5,20,Yes,0,No,No,Yes,Yes,No,Yes,Yes,200,0,No,No,Yes,No,No,ظهرة لبن,West of Riyadh,1200000.0,6000.0
S,4,3,5,30,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,700,2,Yes,No,Yes,No,No,الرمال,East of Riyadh,2600000.0,3714.285714285714
S,3,2,4,20,No,0,No,Yes,Yes,Yes,No,Yes,No,420,0,No,No,Yes,No,No,بدر,South of Riyadh,1050000.0,2500.0
E,5,3,5,17,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,طويق,West of Riyadh,1000000.0,5000.0
N,5,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,1,Yes,No,No,No,No,نمار,West of Riyadh,1500000.0,4166.666666666667
S,5,1,5,16,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,No,No,No,No,No,طويق,West of Riyadh,1230000.0,4100.0
S,5,1,5,21,No,8,Yes,Yes,Yes,Yes,Yes,Yes,No,390,3,Yes,No,No,No,No,الخليج,East of Riyadh,1750000.0,4487.179487179487
N,4,3,4,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,400,0,Yes,Yes,No,Yes,No,النرجس,North of Riyadh,4500000.0,11250.0
S,5,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,250,0,No,No,No,No,No,طويق,West of Riyadh,1150000.0,4600.0
N,4,3,5,15,Yes,0,No,No,Yes,Yes,Yes,Yes,No,501,0,Yes,Yes,No,Yes,No,الياسمين,North of Riyadh,4500000.0,8982.035928143712
N,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,2,Yes,No,No,No,No,طويق,West of Riyadh,1480000.0,4111.111111111111
E,5,3,5,12,No,0,No,No,Yes,Yes,No,Yes,No,336,1,Yes,No,No,No,No,النرجس,North of Riyadh,3000000.0,8928.57142857143
SW,3,3,3,25,No,0,No,No,No,Yes,No,Yes,Yes,225,0,Yes,No,No,No,No,المهدية,West of Riyadh,1700000.0,7555.555555555556
E,5,2,4,15,No,0,No,No,Yes,Yes,No,No,Yes,453,0,Yes,No,No,No,No,مطار الملك خالد الدولي,North of Riyadh,3500000.0,7726.269315673289
E,5,5,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1080000.0,3600.0
E,4,2,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,No,750,0,No,No,No,No,No,النهضة,East of Riyadh,1900000.0,2533.333333333333
W,5,5,5,25,No,15,Yes,No,No,Yes,Yes,Yes,No,451,1,Yes,No,No,No,No,اشبيلية,East of Riyadh,1850000.0,4101.9955654102
S,5,4,5,25,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes,No,750,0,Yes,No,Yes,Yes,No,الاندلس,East of Riyadh,2800000.0,3733.3333333333335
N,4,2,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,400,0,Yes,Yes,No,Yes,No,النرجس,North of Riyadh,4500000.0,11250.0
S,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,285,1,Yes,No,No,No,No,بدر,South of Riyadh,1150000.0,4035.0877192982457
NW,1,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,2,Yes,No,No,No,No,المونسية,East of Riyadh,2100000.0,7000.0
E,7,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,315,0,Yes,No,No,No,No,ظهرة البديعة,West of Riyadh,1600000.0,5079.36507936508
E,3,2,1,20,Yes,0,Yes,No,No,Yes,No,No,No,258,0,Yes,No,No,No,No,الياسمين,North of Riyadh,2450000.0,9496.124031007752
N,4,2,5,20,No,0,No,No,Yes,Yes,No,Yes,No,250,1,No,No,No,No,No,طويق,West of Riyadh,1250000.0,5000.0
S,4,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,312,1,Yes,No,No,No,No,النهضة,East of Riyadh,2250000.0,7211.538461538462
W,4,1,4,15,Yes,0,No,Yes,Yes,Yes,No,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1850000.0,5929.48717948718
SW,4,2,4,20,No,0,No,Yes,No,Yes,No,No,Yes,255,0,No,No,No,No,No,طويق,West of Riyadh,700000.0,2745.098039215686
N,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,260,0,Yes,No,No,No,No,طيبة,South of Riyadh,920000.0,3538.4615384615386
N,4,1,4,18,Yes,0,No,No,Yes,Yes,Yes,Yes,No,288,0,No,No,No,No,No,الرمال,East of Riyadh,1700000.0,5902.777777777777
N,4,4,4,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,No,No,No,No,No,طويق,West of Riyadh,1050000.0,5250.0
S,5,4,5,16,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,المونسية,East of Riyadh,1600000.0,6400.0
S,5,3,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,384,1,Yes,Yes,No,No,No,العارض,North of Riyadh,3250000.0,8463.541666666666
N,5,3,5,15,No,0,No,Yes,Yes,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1250000.0,4166.666666666667
N,6,1,5,15,No,4,No,Yes,Yes,Yes,Yes,Yes,No,375,3,No,No,No,No,No,طويق,West of Riyadh,1500000.0,4000.0
S,5,1,4,15,Yes,0,Yes,No,Yes,Yes,No,Yes,No,357,0,Yes,Yes,No,Yes,No,المروج,North of Riyadh,4000000.0,11204.481792717086
S,4,3,3,20,Yes,0,No,No,No,Yes,No,Yes,No,273,3,Yes,No,No,No,No,العارض,North of Riyadh,2600000.0,9523.809523809525
E,5,2,5,25,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,الحزم,West of Riyadh,1070000.0,4280.0
NW,4,3,5,20,Yes,9,Yes,Yes,Yes,Yes,Yes,Yes,No,365,1,No,No,No,No,No,القادسية,East of Riyadh,2000000.0,5479.45205479452
N,5,1,4,15,No,3,No,Yes,Yes,Yes,No,Yes,No,325,0,No,No,Yes,No,No,طويق,West of Riyadh,800000.0,2461.538461538461
N,3,2,4,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,420,2,No,No,No,No,No,بدر,South of Riyadh,1370000.0,3261.904761904762
N,7,3,5,20,No,0,Yes,Yes,Yes,Yes,Yes,Yes,No,500,1,Yes,No,No,No,No,شبرا,West of Riyadh,1100000.0,2200.0
N,4,3,4,20,No,0,No,No,No,Yes,No,Yes,Yes,275,0,Yes,Yes,No,No,No,المهدية,West of Riyadh,2200000.0,8000.0
SE,4,1,4,20,No,13,Yes,No,No,Yes,Yes,Yes,No,900,4,Yes,No,No,No,No,العارض,North of Riyadh,4000000.0,4444.444444444444
E,7,5,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,0,Yes,No,Yes,No,No,عكاظ,South of Riyadh,1060000.0,2944.4444444444443
E,4,1,3,15,Yes,0,Yes,No,No,Yes,No,Yes,Yes,200,0,Yes,Yes,No,No,No,العارض,North of Riyadh,2200000.0,11000.0
S,5,3,5,15,Yes,0,No,No,Yes,Yes,Yes,Yes,No,312,1,Yes,Yes,No,No,No,المونسية,East of Riyadh,2100000.0,6730.769230769231
W,5,1,5,18,Yes,0,No,No,Yes,Yes,Yes,No,Yes,230,0,Yes,No,No,No,No,بدر,South of Riyadh,800000.0,3478.260869565217
N,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,270,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1100000.0,4074.074074074074
S,5,5,5,15,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,No,591,0,Yes,Yes,Yes,Yes,No,الاندلس,East of Riyadh,3800000.0,6429.780033840948
E,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,352,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1000000.0,2840.909090909091
SW,4,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,220,0,Yes,No,No,No,No,طويق,West of Riyadh,1270000.0,5772.727272727273
S,7,2,5,15,Yes,0,No,No,No,Yes,Yes,Yes,No,312,1,Yes,No,No,No,No,المونسية,East of Riyadh,2200000.0,7051.282051282052
N,4,3,5,18,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,400,2,Yes,Yes,No,No,No,الرمال,East of Riyadh,1730000.0,4325.0
E,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,1,Yes,No,No,No,No,بدر,South of Riyadh,1150000.0,3194.4444444444443
W,4,4,4,12,Yes,0,No,No,Yes,Yes,No,Yes,No,210,0,Yes,No,No,No,No,العليا,North of Riyadh,2400000.0,11428.57142857143
E,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,No,No,No,No,No,الرمال,East of Riyadh,1250000.0,5000.0
W,5,1,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,النرجس,North of Riyadh,2550000.0,8500.0
W,4,2,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,3833.3333333333335
E,5,2,2,15,Yes,0,No,No,No,Yes,No,Yes,Yes,200,0,No,No,No,No,No,المونسية,East of Riyadh,1650000.0,8250.0
NW,4,5,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,392,1,Yes,Yes,No,No,No,المونسية,East of Riyadh,3150000.0,8035.714285714285
E,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,275,0,Yes,No,No,No,No,بدر,South of Riyadh,1000000.0,3636.363636363637
NE,4,5,5,25,Yes,0,No,No,No,Yes,No,No,No,250,1,No,No,No,No,No,طويق,West of Riyadh,1250000.0,5000.0
W,5,1,1,20,Yes,30,Yes,No,No,Yes,No,No,No,910,0,No,No,No,No,No,الورود,North of Riyadh,4100000.0,4505.494505494506
E,5,2,5,15,Yes,7,Yes,No,Yes,Yes,No,Yes,No,330,0,Yes,No,No,No,No,الياسمين,North of Riyadh,3200000.0,9696.969696969696
NE,1,3,4,15,Yes,0,No,No,Yes,Yes,No,Yes,No,261,0,Yes,No,No,No,No,العارض,North of Riyadh,2350000.0,9003.83141762452
N,4,2,3,20,No,2,No,Yes,Yes,Yes,No,Yes,No,360,0,No,No,Yes,No,No,طويق,West of Riyadh,1070000.0,2972.222222222222
E,4,4,4,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,450,2,Yes,Yes,Yes,No,No,العارض,North of Riyadh,3500000.0,7777.777777777777
SE,7,2,5,18,Yes,0,No,No,No,Yes,No,No,No,360,2,No,Yes,No,No,No,الحزم,West of Riyadh,1550000.0,4305.555555555556
E,3,3,3,15,No,6,Yes,No,No,Yes,No,Yes,No,375,3,No,No,No,No,No,العقيق,North of Riyadh,3000000.0,8000.0
SW,4,2,4,15,Yes,0,No,No,No,Yes,No,No,No,378,2,No,No,No,No,No,النهضة,East of Riyadh,2300000.0,6084.656084656084
N,3,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,315,1,Yes,No,No,No,No,طويق,West of Riyadh,1400000.0,4444.444444444444
S,7,2,5,20,Yes,11,Yes,No,Yes,Yes,Yes,Yes,No,512,0,Yes,No,No,No,No,اشبيلية,East of Riyadh,3000000.0,5859.375
N,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,الحزم,West of Riyadh,1050000.0,4200.0
W,5,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,220,0,Yes,No,No,No,No,بدر,South of Riyadh,850000.0,3863.636363636364
N,7,4,4,15,Yes,0,No,Yes,Yes,Yes,No,No,No,300,0,No,No,No,No,No,طويق,West of Riyadh,1400000.0,4666.666666666667
N,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1300000.0,4333.333333333333
E,5,2,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,No,No,No,No,No,طيبة,South of Riyadh,850000.0,3400.0
E,4,2,4,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,340,1,Yes,No,No,No,Yes,الرمال,East of Riyadh,1450000.0,4264.705882352941
S,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,No,No,No,No,طويق,West of Riyadh,1650000.0,4400.0
W,5,3,5,5,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,Yes,No,No,عكاظ,South of Riyadh,1170000.0,3900.0
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,2,Yes,No,No,No,No,طويق,West of Riyadh,1600000.0,4444.444444444444
N,5,5,5,15,No,0,No,Yes,Yes,Yes,No,Yes,Yes,250,0,Yes,No,No,No,No,الرمال,East of Riyadh,1360000.0,5440.0
N,5,3,5,15,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,340,0,Yes,No,No,No,No,بدر,South of Riyadh,1020000.0,3000.0
N,5,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,400,2,No,No,No,No,No,طويق,West of Riyadh,1800000.0,4500.0
W,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,360,2,Yes,No,No,No,No,طويق,West of Riyadh,1500000.0,4166.666666666667
